ERROR: OOM killer activated
Process killed: worker-4
Memory: 98%
INFO: restarting
INFO: restarting
INFO: restarting
INFO: restarting
INFO: restarting
INFO: restarting
INFO: restarting
INFO: restarting
INFO: restarting
INFO: restarting
INFO: restarting
INFO: restarting
INFO: restarting
INFO: restarting
INFO: restarting
INFO: restarting
INFO: restarting
INFO: restarting
INFO: restarting
INFO: restarting
INFO: restarting
INFO: restarting
INFO: restarting
INFO: restarting
INFO: restarting
INFO: restarting
INFO: restarting
INFO: restarting
INFO: restarting
INFO: restarting
INFO: restarting
INFO: restarting
INFO: restarting
INFO: restarting
INFO: restarting
INFO: restarting
INFO: restarting
INFO: restarting
INFO: restarting
INFO: restarting
INFO: restarting
INFO: restarting
INFO: restarting
INFO: restarting
INFO: restarting
INFO: restarting
INFO: restarting
INFO: restarting
INFO: restarting
INFO: restarting
