ERROR: OOM killer activated
Process killed: worker-1
Memory: 98%
INFO: restarting
INFO: restarting
INFO: restarting
INFO: restarting
INFO: restarting
INFO: restarting
INFO: restarting
INFO: restarting
INFO: restarting
INFO: restarting
INFO: restarting
INFO: restarting
INFO: restarting
INFO: restarting
INFO: restarting
INFO: restarting
INFO: restarting
INFO: restarting
INFO: restarting
INFO: restarting
INFO: restarting
INFO: restarting
INFO: restarting
INFO: restarting
INFO: restarting
INFO: restarting
INFO: restarting
INFO: restarting
INFO: restarting
INFO: restarting
INFO: restarting
INFO: restarting
INFO: restarting
INFO: restarting
INFO: restarting
INFO: restarting
INFO: restarting
INFO: restarting
INFO: restarting
INFO: restarting
INFO: restarting
INFO: restarting
INFO: restarting
INFO: restarting
INFO: restarting
INFO: restarting
INFO: restarting
INFO: restarting
INFO: restarting
INFO: restarting
